Reel_Num,Date,Month,Day_of_Week,Caption_Preview,Hashtags,Post_Type,Reach,Impressions,Likes,Comments,Shares,Saves,Profile_Visits,Engagement_Rate,Hour_Posted
1,2026-06-12 00:00:00,June,Friday,Kohlilessð_x009f_¥² . . . . . . #viratkohli #cricket #odicricket #,#viratkohli #cricket #odicricket #injury #fyp,Reel,1578,2177,174,2,6,3,7,11.72,
2,2026-05-21 00:00:00,May,Thursday,A Simple evening ride ! . . . . . . #bikeride #royalenfield,#bikeride #royalenfield #fyp #pov #hunter,Reel,1744,2718,220,4,9,3,18,13.53,
3,2026-04-23 00:00:00,April,Thursday,Disspossible ð_x009f__x0098__x0082_ð_x009f__x0098_­ . . . . #mountains #fyp #exams #study,#mountains #fyp #exams #study #explore,Reel,4219,5920,235,2,149,1,19,9.17,
4,2026-04-16 00:00:00,April,Thursday,Always Fav RED sideâ_x009d_¤ï¸_x008f_ . @royalchallengers.bengaluru @vir,#rcb #ipl2026 #viratkohli #abdevilliers #fyp,Reel,3173,3865,322,4,13,7,32,10.9,
5,2026-04-15 00:00:00,April,Wednesday,The beauty ð_x009f_¥ºð_x009f_¥º . . . . . . . #mountains #nature #himala,#mountains #nature #himalayas #explore #uttarakhand,Reel,2634,3576,246,5,23,12,31,10.86,
6,2026-04-11 00:00:00,April,Saturday,Pagal bachhe ka utpaatð_x009f_¥² . We want justice ð_x009f_¥²ð_x009f__x0098__x0082_ @rajas,#ipl2026 #rcb #mumbaiindians #csk #viratkohli,Reel,2411,4092,196,4,42,0,22,10.04,
7,2026-04-09 00:00:00,April,Thursday,Chalo yaarð_x009f_¥² . . . . . . #mountains #nature #explore #hima,#mountains #nature #explore #himalayas #uttarakhand,Reel,1200,2037,168,5,8,1,18,15.17,
8,2026-04-04 00:00:00,April,Saturday,ð_x009f__x0093__x008d_Uttarkashi Uttrakhandð_x009f__x008d__x0083_ð_x009f__x008f__x0094_ . . . . . . #nature #mount,#nature #mountains #himalayas #explore #trip,Reel,1058,2035,132,2,0,0,20,12.67,
9,2026-03-28 00:00:00,March,Saturday,Escape Walk ð_x009f__x008d__x0083_ð_x009f__x008f__x0094_ . . . . . . #mountains #nature #himalay,#mountains #nature #himalayas #explore #uttarakhand,Reel,939,1686,166,5,0,2,15,18.42,
10,2026-03-12 00:00:00,March,Thursday,Escape ð_x009f__x008f__x0094_â_x009c_¨ï¸_x008f_ . . . . . . . #mountains #nature #trip #hi,#mountains #nature #trip #himalayas #explore,Reel,631,1320,143,4,0,1,19,23.45,
11,2026-03-03 00:00:00,March,Tuesday,Oâ_x0080__x0099_cean Energy Drinkâ_x009a_¡ï¸_x008f_ >> RedBull & Monster .  .  .  .,#himalayas #uttarakhand #energydrink #foryou #explore,Reel,2301,4255,220,7,9,2,39,10.34,
12,2026-02-26 00:00:00,February,Thursday,Aura farm ð_x009f__x008f__x0094_ï¸_x008f_ . . . . . . #aura #mountains #himalayas #u,#aura #mountains #himalayas #uttrakhand #explore,Reel,2357,3738,202,7,15,6,52,9.76,
13,2026-02-21 00:00:00,February,Saturday,"Natureâ_x0080__x0099_s upgrade unlocked ð_x009f__x008f__x0094_ï¸_x008f_â_x009c_¨ . Dayara Bugyal 11,84",#foryou #himalayas #mountains #uttarakhand #explore,Reel,878,2219,232,14,1,3,18,28.47,
14,2025-12-31 00:00:00,December,Wednesday,God's Plan ð_x009f_§¿  #royalchallengersbangalore #ipl #ipl2025 #2,#royalchallengersbangalore #ipl #ipl2025 #2025 #viratkohli,Reel,770,1466,96,5,0,1,10,13.25,
15,2026-06-09 00:00:00,June,Tuesday,i wanna see every single inch of uttrakhand ,#mountains #explorepage #fyppppppppppppppppppppppp,Reel,2470,3474,308,8,13,22,0,14.21,
16,2026-01-02 00:00:00,January,Friday,Elevatus,#one8commune #viratkohli,Post,1034,1753,245,6,0,0,42,24.27,
17,2025-11-15 00:00:00,November,Saturday,Crisp Air No AQI needed,#nature #mountains #himalayas #explore #trip,Post,605,2245,240,6,2,0,10,40.99,
